Array Size;Time
500;8
600;9
700;12
800;43
900;15
1000;16
1100;61
1200;45
1300;2
1400;24
1500;27
1600;29
1700;107
1800;31
1900;33
2000;33
2100;76
2200;166
2300;38
2400;39
2500;121
2600;76
2700;46
2800;47
2900;134
3000;54
3100;56
3200;58
3300;245
3400;61
3500;61
3600;198
3700;175
3800;66
3900;68
4000;67
4100;236
4200;105
4300;151
4400;174
4500;175
4600;108
4700;8
4800;154
4900;78
5000;78
5100;163
5200;338
5300;199
5400;93
5500;325
5600;95
5700;146
5800;102
5900;14
6000;249
6100;11
6200;195
6300;35
6400;371
6500;477
6600;12
6700;536
6800;122
6900;38
7000;336
7100;122
7200;154
7300;448
7400;127
7500;398
7600;398
7700;498
7800;325
7900;459
8000;137
8100;18
8200;388
8300;333
8400;416
8500;527
8600;145
8700;147
8800;346
8900;29
9000;568
9100;676
9200;157
9300;505
9400;163
9500;445
9600;497
9700;443
9800;707
9900;821
10000;224
10100;633
10200;193
10300;362
10400;444
10500;972
10600;679
10700;709
10800;84
10900;523
11000;75
11100;742
11200;195
11300;676
11400;415
11500;588
11600;521
11700;675
11800;743
11900;511
12000;841
12100;931
12200;22
12300;664
12400;338
12500;993
12600;1257
12700;1161
12800;816
12900;1008
13000;1151
13100;579
13200;858
13300;875
13400;84
13500;804
13600;686
13700;1034
13800;679
13900;1024
14000;1124
14100;436
14200;764
14300;859
14400;251
14500;1046
14600;475
14700;902
14800;561
14900;1079
15000;1185
15100;982
15200;958
15300;1213
15400;127
15500;913
15600;1378
15700;1277
15800;1265
15900;1385
16000;1338
16100;1042
16200;847
16300;1174
16400;921
16500;943
16600;143
16700;1187
16800;1001
16900;983
17000;1152
17100;1397
17200;1249
17300;1607
17400;781
17500;1601
17600;1479
17700;927
17800;1461
17900;1672
18000;1546
18100;1522
18200;1334
18300;1712
18400;1147
18500;1103
18600;856
18700;1709
18800;1832
18900;1682
19000;1793
19100;1473
19200;1794
19300;1357
19400;1044
19500;1276
19600;1466
19700;775
19800;998
19900;1023
20000;1227
20100;1723
20200;1718
20300;1495
20400;17
20500;1952
20600;971
20700;1063
20800;972
20900;1968
21000;972
21100;1922
21200;1552
21300;1684
21400;1844
21500;1435
21600;1003
21700;1972
21800;1242
21900;1621
22000;1083
22100;2191
22200;1273
22300;863
22400;1625
22500;1479
22600;2155
22700;988
22800;2067
22900;664
23000;2274
23100;1823
23200;1913
23300;1797
23400;2396
23500;1187
23600;1939
23700;1311
23800;1738
23900;69
24000;1499
24100;1706
24200;1663
24300;2189
24400;2152
24500;2033
24600;1892
24700;2368
24800;2258
24900;1468
25000;1699
25100;173
25200;2097
25300;1764
25400;1678
25500;1418
25600;1735
25700;2114
25800;2222
25900;1373
26000;2313
26100;1936
26200;2307
26300;2197
26400;2462999999
26500;1096
26600;2833
26700;192
26800;2533
26900;2627
27000;2526
27100;2819
27200;1877
27300;2372
27400;1491
27500;2104
27600;2245
27700;2536
27800;2752
27900;2385
28000;2395
28100;2555
28200;1931
28300;2522
28400;2561
28500;2527
28600;238
28700;2255
28800;1858
28900;2184
29000;1352
29100;2158
29200;2243
29300;2504
29400;2689
29500;2366
29600;2605
29700;2595
29800;3098
29900;2649
30000;2473
30100;273
30200;2672
30300;3073
30400;1647
30500;2931
30600;2847
30700;2963
30800;2841
30900;3298
31000;2283
31100;2179
31200;242
31300;2661
31400;227
31500;2893
31600;3393
31700;2951
31800;2263
31900;2905
32000;3187
32100;3272
32200;3751
32300;2679
32400;2009
32500;2446
32600;2151
32700;1292
32800;2648
32900;3347
33000;2161
33100;2473
33200;3871
33300;2977
33400;3184
33500;2138
33600;343
33700;3381
33800;2832
33900;3205
34000;2815
34100;3534
34200;3255
34300;2722
34400;2472
34500;3238
34600;3058
34700;2642
34800;2558
34900;3447
35000;3177
35100;3201
35200;3475
35300;2027
35400;3394
35500;3807
35600;3498
35700;2988
35800;413
35900;3516999999
36000;2831
36100;2703
36200;3297
36300;3698
36400;3594
36500;3369
36600;3789
36700;3821
36800;3688
36900;3677
37000;3423
37100;2212
37200;3246999999
37300;3437
37400;307
37500;2879
37600;4119
37700;2479
37800;3988
37900;3534
38000;3868
38100;3528
38200;3789
38300;3355
38400;3757
38500;3914
38600;3723
38700;3691
38800;2936
38900;373
39000;4007
39100;3135
39200;4313
39300;3941
39400;3689
39500;3513
39600;4118
39700;4212
39800;3944
39900;3214
40000;4043
40100;3877
40200;3875
40300;402
40400;4189
40500;4357
40600;2857
40700;3584
40800;4431
40900;44
41000;3353
41100;3613
41200;4595
41300;4089
41400;3207
41500;3315
41600;4102
41700;4556
41800;3675999999
41900;4528
42000;405
42100;449
42200;4194
42300;3674
42400;4071
42500;4395
42600;2011
42700;3527
42800;3997
42900;4256
43000;2097
43100;4314
43200;4049
43300;4378
43400;476
43500;3013999999
43600;4029
43700;3188
43800;4383
43900;5643
44000;4248
44100;3418
44200;4564
44300;4812
44400;4073
44500;4938
44600;3484
44700;4903
44800;3654
44900;4585
45000;3941
45100;4436
45200;3827
45300;4327
