Array Size;Time
500;105
600;128
700;162
800;188
900;212
1000;239
1100;266
1200;292
1300;323
1400;365
1500;394
1600;424
1700;451
1800;478
1900;506
2000;54
2100;566
2200;594
2300;623
2400;653
2500;683
2600;721
2700;765
2800;812
2900;846
3000;873
3100;904
3200;937
3300;966
3400;994
3500;1031
3600;1058
3700;1091
3800;1126
3900;1153
4000;1184
4100;1214
4200;1265
4300;1285
4400;1312
4500;1343
4600;1352
4700;1387
4800;1492
4900;1442
5000;1472
5100;1507
5200;1553
5300;16
5400;1684
5500;1726
5600;1779
5700;1818
5800;1843
5900;1881
6000;1913
6100;1908
6200;1936
6300;2058
6400;2006
6500;2046
6600;2088
6700;2175
6800;22
6900;2238
7000;2272
7100;23
7200;2322
7300;2364
7400;2395
7500;2444
7600;246
7700;2485
7800;2529
7900;2568
8000;2611
8100;264
8200;2681
8300;2698
8400;2736
8500;2768
8600;2812
8700;2838
8800;2868
8900;2907
9000;2946
9100;2979
9200;3012
9300;3056
9400;3089
9500;3132
9600;3162
9700;319
9800;3222
9900;3265
10000;33
10100;3336
10200;3311
10300;3394
10400;3425
10500;3503
10600;3556
10700;3617
10800;3668
10900;3733
11000;3747
11100;3741
11200;3786
11300;4098
11400;3945999999
11500;3987
11600;4034
11700;4072
11800;4116
11900;4135
12000;4177
12100;4207
12200;4235
12300;4279
12400;4318
12500;4433
12600;4413
12700;4372
12800;4465
12900;451
13000;456
13100;4588
13200;4638
13300;4684
13400;4688
13500;4715
13600;4746
13700;48
13800;4829
13900;4871
14000;4944
14100;4955
14200;4972
14300;5012
14400;5076
14500;5078
14600;515
14700;516
14800;5228
14900;5224
15000;5269
15100;5306
15200;5362
15300;5393
15400;5426
15500;5461
15600;5503
15700;5539
15800;5572
15900;5606
16000;5641
16100;5676
16200;5715
16300;5762
16400;5791
16500;584
16600;587
16700;5863
16800;5818
16900;5977
17000;6029
17100;6065
17200;63
17300;6039
17400;6192
17500;6207
17600;6238
17700;6281
17800;623
17900;6251
18000;6393
18100;6423
18200;6453
18300;6559
18400;6494
18500;6607
18600;6649
18700;6669
18800;6643
18900;6655
19000;677
19100;6807
19200;6841
19300;6947
19400;7013
19500;6963
19600;6994
19700;7045
19800;7091
19900;7209
20000;715
20100;7176
20200;7233
20300;7219
20400;7269
20500;7359
20600;7396
20700;7334
20800;7505
20900;7549
21000;7653
21100;7655
21200;7635
21300;7785
21400;7859
21500;7919
21600;7887
21700;7997
21800;8098
21900;8127
22000;8166
22100;8534
22200;8372
22300;8501
22400;8515
22500;8481
22600;8472
22700;8499
22800;8548
22900;8575
23000;8628
23100;8651
23200;8607
23300;8637
23400;87
23500;8644
23600;8843
23700;8911
23800;8976
23900;8967
24000;9004
24100;9031
24200;9077
24300;9005
24400;9155
24500;9183
24600;9283
24700;9321
24800;9385
24900;9357
25000;932
25100;9354
25200;946
25300;9536
25400;9576
25500;9533999999
25600;9646
25700;9682
25800;9834
25900;9781
26000;9827
26100;9879
26200;9895
26300;9955
26400;9982
26500;9994
26600;10046
26700;10095
26800;10009
26900;10465
27000;10166
27100;10223
27200;10088
27300;10286
27400;10347
27500;10403
27600;10406
27700;10439
27800;10467
27900;10382
28000;10581
28100;10597
28200;10503
28300;10599
28400;1077
28500;1062
28600;10679
28700;10908
28800;11054
28900;10928
29000;11092
29100;10852
29200;11051
29300;11123
29400;10959
29500;11156
29600;11203
29700;11199
29800;11291
29900;11354
30000;11316
30100;11285
30200;1152
30300;1147
30400;1154
30500;11584
30600;11568
30700;11642
30800;11741
30900;1166
31000;1188
31100;11932
31200;11958
31300;11894
31400;12025
31500;11929
31600;12099
31700;12146
31800;12023
31900;12099
32000;1227
32100;12364
32200;12376
32300;12387
32400;12315
32500;1246
32600;12442
32700;12317
32800;12468
32900;12516
33000;12398
33100;12561
33200;12649
33300;12511
33400;1279
33500;12799
33600;12719
33700;12705
33800;12712
33900;12952
34000;12804
34100;12971
34200;13077
34300;13043
34400;13103
34500;13141
34600;13189
34700;13218
34800;13283
34900;13318
35000;13366
35100;13449
35200;13428
35300;13486
35400;13336
35500;1359
35600;13589
35700;13656
35800;13733
35900;13582
36000;13736
36100;13778
36200;13688
36300;13903
36400;13954
36500;14002
36600;13976
36700;13912
36800;14149
36900;14127
37000;14152
37100;14193
37200;14139
37300;14211
37400;1436
37500;1439
37600;14396
37700;14439
37800;14485
37900;1451499999
38000;14593
38100;14645
38200;14718
38300;14718
38400;14803
38500;14764
38600;14793
38700;14879
38800;1487
38900;14711
39000;14962
39100;14992
39200;15038
39300;15121
39400;15614
39500;15153
39600;15245
39700;15205
39800;15269
39900;15299
40000;15411
40100;15549
40200;15457
40300;15359
40400;15557
40500;15589
40600;15586
40700;15654
40800;15484
40900;15737
41000;1559
41100;15824
41200;16159
41300;15897
41400;1601
41500;16062
41600;1612
41700;16224
41800;16242
41900;16373
42000;16405
42100;16421
42200;16553
42300;16536
42400;16584
42500;16669
42600;16698
42700;16812
42800;16805
42900;1686
43000;16941
43100;16951
43200;16808
43300;17062
43400;16993
43500;17244
43600;17321
43700;17397
43800;17391
43900;17544
44000;17519
44100;17561
44200;17639
44300;1755
44400;17684
44500;17852
44600;17891
44700;1790299999
44800;1798
44900;18032
45000;18055
45100;18096
45200;17841
45300;18151
45400;18214
45500;18331
45600;1821
45700;18355
45800;18417
45900;18426
46000;18546
46100;18554
46200;18394
46300;18634
46400;18673
46500;18657
46600;18744
46700;18802
46800;18835
46900;18815
47000;18862
47100;1901599999
47200;19038
47300;19006
47400;18885
47500;19242
47600;1923
47700;1916
47800;1917499999
47900;1921
48000;19045
48100;19561
48200;19471
48300;19488
48400;19511
48500;19378
48600;19609
48700;19406
48800;19565
48900;19389
49000;19649
49100;19712
49200;19823
49300;19871
49400;20042
49500;20145
49600;20075
49700;20097
49800;19871
49900;20066
50000;20137
50100;20317
50200;20951
50300;2041
50400;20336
50500;23564
50600;20558
50700;20703
50800;20543
50900;20609
51000;20517
51100;20696
51200;20534
51300;20789
51400;20799
51500;21696
51600;2081
51700;20794
51800;2085
51900;20901
52000;20898
52100;2101
52200;21089
52300;21036
52400;21012
52500;2118
52600;21239
52700;21283
52800;21316
52900;21058
53000;21375
53100;21231
53200;21414
53300;21531
53400;21582
53500;21647
53600;21685
53700;21695
53800;21839
53900;2156
54000;2179
54100;21803
54200;21844
54300;21899
54400;22066
54500;21981
54600;22119
54700;2215
54800;22192
54900;22263
55000;222
55100;22406
55200;2229
55300;22331
55400;22298
55500;22359
55600;22973
55700;22442
55800;22517
55900;22277
56000;22294
56100;22623
56200;2266999999
56300;22683
56400;22676
56500;22705
56600;22867
56700;22873
56800;22876
56900;22924
57000;22978
57100;23038
57200;23186
57300;23339
57400;23625
57500;23952
57600;23336
57700;23377
57800;2321
57900;23441
58000;23357
58100;23526
58200;23489
58300;23525
58400;2355
58500;23601
58600;23658
58700;2372
58800;23795
58900;23788
59000;23822
59100;23839
59200;23811
59300;23969
59400;23996
59500;24037
59600;24057
59700;24131
59800;24206
59900;24192
60000;24208
60100;24381
60200;24365
60300;24251
60400;24502
60500;24855
60600;24786
60700;24632
60800;2456
60900;2473
61000;2457
61100;2505499999
61200;25012
61300;24775
61400;2494
61500;24949
61600;25058
61700;25012
61800;24984
61900;24811
62000;2515899999
62100;25168
62200;25337
62300;25193
62400;25278
62500;25205
62600;25355
62700;25423
62800;2552
62900;25637
63000;25658
63100;25891
63200;26291
63300;25749
63400;25781
63500;25748
63600;25745
63700;25832
63800;2585
63900;25988
64000;26014
64100;26015
64200;25983
64300;25982
64400;26083
64500;26187
64600;2598
64700;26259
64800;26308
64900;25904
65000;26182
65100;26876
65200;26509
65300;26574
65400;26476
65500;26666
65600;26558
65700;26682
65800;27245
65900;26681
66000;26812
66100;26798
66200;27459
66300;27073
66400;26955
66500;26988
66600;27039
66700;27123
66800;26971
66900;27168
67000;27195
67100;27235
67200;27059
67300;27184
67400;27318
67500;27434
67600;27459
67700;27513
67800;27549
67900;27578
68000;27568
68100;27625
68200;27749
68300;28098
68400;27793
68500;27839
68600;27856
68700;27705
68800;27966
68900;27922
69000;27991
69100;28065
69200;27873
69300;29114
69400;28798
69500;28536
69600;29481
69700;28506
69800;28464
69900;2847
70000;28585
70100;28611
70200;286
70300;28573
70400;28639
70500;28688
70600;28714
70700;28828
70800;29065
70900;28987
71000;28809
71100;28914
71200;2898
71300;29003
