Size;Time
46800;12687600
46900;12360100
47000;12712200
47100;12280900
47200;11981100
47300;12369100
47400;12654200
47500;12239700
47600;12578000
47700;12517700
47800;12436000
47900;12832300
48000;12805400
48100;13097500
48200;12429400
48300;12365200
48400;12866500
48500;12466300
48600;12581200
48700;12590200
48800;12790900
48900;12738200
49000;13209800
49100;12584700
49200;12588700
49300;13081700
49400;12931500
49500;13151400
49600;13343400
49700;12893300
49800;12992100
49900;12677700
50000;13341600
50100;12856900
50200;13359200
50300;12961400
50400;13018600
50500;12870300
50600;13375300
50700;13495100
50800;13119300
50900;13444700
51000;15249300
51100;14411300
51200;13081500
51300;13667100
51400;13240300
51500;13441900
51600;13223300
51700;13476700
51800;13398100
51900;13347000
52000;13411000
52100;13837300
52200;13388400
52300;13911800
52400;13953100
52500;13348600
52600;13933700
52700;13550000
52800;13843900
52900;13416500
53000;13989900
53100;13532500
53200;13438500
53300;13919700
53400;13711500
53500;13644200
53600;13724200
53700;13871300
53800;14022700
53900;14162300
54000;14166700
54100;14086400
54200;14127600
54300;14331200
54400;14282900
54500;14046600
54600;14330200
54700;14443900
54800;13991500
54900;14376000
55000;14591000
55100;14951900
55200;14370100
55300;14363100
55400;14569200
55500;14311900
55600;14871300
55700;14393900
55800;14720400
55900;14347000
56000;14542700
56100;14507900
56200;14553000
56300;14481300
56400;14988100
56500;14439600
56600;14684400
56700;14847700
56800;14743900
56900;15048900
57000;14827400
57100;15168000
57200;15094900
57300;15159200
57400;14901300
57500;15112800
57600;15032400
57700;15259300
57800;15266000
57900;15443400
58000;14988100
58100;15904000
58200;15442300
58300;15899400
58400;16042800
58500;15228800
58600;15740400
58700;15668300
58800;15273700
58900;15601300
59000;15200800
59100;15288500
59200;15322200
59300;15281500
59400;15740000
59500;15320800
59600;15509900
59700;16227700
59800;15980200
59900;15711500
60000;15618000
60100;15869500
60200;16154600
60300;16237100
60400;15788900
60500;15602800
60600;15939100
60700;16028600
60800;15806100
60900;16490900
61000;16313600
61100;16003700
61200;16008700
61300;16633400
61400;16259900
61500;16110700
61600;15850200
61700;16878500
61800;15936300
61900;16239800
62000;17261700
62100;16344600
62200;16520800
62300;16588400
62400;16892300
62500;16147000
62600;16434300
62700;16811800
62800;17226200
62900;16460400
63000;17062900
63100;17258300
