Size;Time
46700;14154700
46800;14064700
46900;14515000
47000;14225600
47100;14184100
47200;14201100
47300;14456300
47400;14451100
47500;14227500
47600;14478500
47700;14427800
47800;14636800
47900;14568300
48000;14534700
48100;14591800
48200;14559000
48300;14776000
48400;14610300
48500;14862100
48600;15528400
48700;14706600
48800;15011300
48900;14895400
49000;15066500
49100;15473800
49200;14834800
49300;15137500
49400;15163500
49500;14912000
49600;14991800
49700;15527600
49800;15261100
49900;15097100
50000;15604800
50100;15240000
50200;15156800
50300;15238800
50400;15593100
50500;15398900
50600;15651600
50700;15785000
50800;15447100
50900;15870000
51000;15976700
51100;15772200
51200;15855400
51300;15892400
51400;16130400
51500;16091800
51600;16241700
51700;15779800
51800;15663800
51900;15760900
52000;15965700
52100;15660000
52200;16078700
52300;16032300
52400;15888700
52500;16024500
52600;16143600
52700;16180400
52800;16527600
52900;16440200
53000;16058300
53100;16223900
53200;16570100
53300;16264100
53400;16579900
53500;16649000
53600;16524500
53700;16386900
53800;16620500
53900;16739700
54000;16558900
54100;16736000
54200;16710200
54300;16593500
54400;16587000
54500;16749900
54600;16471900
54700;16680500
54800;16975400
54900;17266700
55000;16709700
55100;17491800
55200;17023800
55300;16995600
55400;17036400
55500;17001400
55600;16935100
55700;17093200
55800;17177900
55900;17205700
56000;17114600
56100;17395300
56200;17830800
56300;17676400
56400;17037300
56500;17169800
56600;18067000
56700;17372600
56800;17743500
56900;17437300
57000;18004700
57100;17586200
57200;17966100
57300;18121000
57400;17992800
57500;17934100
57600;17827600
57700;17846400
57800;17838800
57900;17869400
58000;17653300
58100;17862200
58200;18317800
58300;17886800
58400;18239900
58500;17753200
58600;17476900
58700;18160600
58800;18360300
58900;19131300
59000;18764300
59100;18483200
59200;17907700
59300;18497900
59400;18629800
59500;18516600
59600;18641700
59700;18441300
59800;18558900
59900;18625100
60000;18632700
60100;18490100
60200;18671200
60300;18561600
60400;18642700
60500;18496400
60600;18899300
60700;18519900
60800;18657000
60900;18926200
61000;18753500
61100;18976900
61200;19096100
61300;19009000
61400;19363400
61500;19114300
61600;19128700
61700;19306900
61800;19319800
61900;19702600
62000;18880800
62100;19297200
62200;18948700
62300;19120900
62400;19666600
62500;19496200
62600;19008300
62700;19608600
62800;19244900
62900;19602700
63000;19674200
63100;19362300
63200;19543500
63300;19673600
63400;19748600
63500;19881000
63600;20098700
63700;19800200
63800;19882900
63900;19961300
64000;20113500
64100;19659600
64200;19926000
64300;20086200
64400;19818000
64500;20757600
64600;20233300
64700;20344600
64800;20866800
64900;19954100
65000;20259300
65100;20199000
65200;20465600
65300;20672900
65400;20665900
65500;20886200
65600;20232300
65700;21432700
65800;20509400
65900;21237800
66000;20317400
66100;20553900
66200;20523700
66300;20604800
66400;20803600
66500;21006500
66600;20702700
66700;21162400
66800;20715500
66900;21009000
67000;20486300
67100;21348000
67200;21113800
67300;20926900
67400;21053500
67500;21514600
67600;20842100
67700;20843600
67800;20813700
67900;21381500
68000;21417400
68100;21053500
68200;21319600
68300;21455900
68400;21243700
