Size;Time
46700;12772200
46800;12604100
46900;12362800
47000;12005800
47100;12377500
47200;12221300
47300;12232800
47400;12367800
47500;12735300
47600;12245800
47700;12484100
47800;12446300
47900;12405700
48000;12499800
48100;12567400
48200;12630200
48300;12928500
48400;12998900
48500;12340900
48600;12699100
48700;12546800
48800;12772400
48900;12997400
49000;12911800
49100;12577600
49200;13136300
49300;13095800
49400;13036800
49500;12924500
49600;12998100
49700;13166700
49800;12604000
49900;13569900
50000;13051200
50100;12805400
50200;12924000
50300;12812900
50400;13599800
50500;13565100
50600;12946800
50700;13669300
50800;13852000
50900;13321700
51000;13423600
51100;13939800
51200;13304700
51300;13331500
51400;13296900
51500;13539400
51600;13235900
51700;13453700
51800;13506000
51900;13134400
52000;13818700
52100;13759800
52200;14219200
52300;13829600
52400;14045000
52500;13715900
52600;13647100
52700;13574800
52800;13750700
52900;13665700
53000;14250300
53100;14017000
53200;14396800
53300;14117900
53400;14247500
53500;13758700
53600;14082300
53700;14267600
53800;14106700
53900;14168000
54000;13800400
54100;14281800
54200;14522700
54300;14291000
54400;14826000
54500;14444600
54600;14502600
54700;14361100
54800;14334500
54900;14828900
55000;14411000
55100;14838400
55200;14706600
55300;14310700
55400;14485800
55500;14564400
55600;14305800
55700;14432000
55800;15003800
55900;14648800
56000;14474400
56100;14585100
56200;15030800
56300;14591600
56400;14805200
56500;15311700
56600;15008600
56700;14861300
56800;14974400
56900;15436700
57000;15090700
57100;14905500
57200;15705800
57300;14722000
57400;14857200
57500;15113200
57600;15410600
57700;14992100
57800;15348700
57900;15724000
58000;15240500
58100;15590400
58200;15500800
58300;15720900
58400;15606000
58500;15240300
58600;15265000
58700;16147300
58800;16681300
58900;15944100
59000;16295100
59100;16434300
59200;16363100
59300;16654500
59400;16789800
59500;16363300
59600;15977500
59700;16981300
59800;15870500
59900;16638100
60000;16713600
60100;16728600
60200;15663300
60300;15969200
60400;15883100
60500;16245500
60600;16163000
60700;16738800
60800;15692600
60900;16421800
61000;16203400
61100;16158500
61200;16416800
61300;16503400
61400;16900100
61500;16141300
61600;17169400
61700;16769900
