Size;Time
46800;12091500
46900;12336000
47000;12156900
47100;11947900
47200;12164600
47300;12181500
47400;12162100
47500;12361300
47600;12015300
47700;11933200
47800;12973300
47900;12461600
48000;12184400
48100;12011400
48200;12197100
48300;12690500
48400;12651700
48500;12205600
48600;12460800
48700;12477600
48800;12861000
48900;12393500
49000;12767700
49100;12480700
49200;12594800
49300;12504100
49400;12988300
49500;12597100
49600;12520100
49700;12722800
49800;12914200
49900;12837100
50000;12922600
50100;13054500
50200;13185400
50300;12844000
50400;13273900
50500;13076900
50600;12855800
50700;13142600
50800;14137600
50900;13066200
51000;12878400
51100;13109300
51200;13419500
51300;12894800
51400;12766300
51500;13329300
51600;13691600
51700;13358400
51800;13782000
51900;13656500
52000;13299300
52100;13459400
52200;13784600
52300;13251600
52400;14282100
52500;13363900
52600;13673500
52700;14120600
52800;13390200
52900;13740300
53000;14137700
53100;13635000
53200;13484100
53300;13817700
53400;14365700
53500;13877000
53600;14486500
53700;13648700
53800;14457500
53900;13952200
54000;13976900
54100;14084900
54200;14222700
54300;14345300
54400;13974800
54500;14122600
54600;14341500
54700;13987600
54800;14120400
54900;14335500
55000;14270500
55100;14242900
55200;14440000
55300;14136400
55400;14310500
55500;14151200
55600;14185800
55700;14266700
55800;15144700
55900;14462700
56000;14817400
56100;14531300
56200;14506000
56300;15086500
56400;14997500
56500;14650200
56600;14997900
56700;14709800
56800;14702500
56900;15206700
57000;14822900
57100;15187600
57200;15358500
57300;14732300
57400;15068700
57500;14652400
57600;15010400
57700;14921400
57800;14604400
57900;15406600
58000;15286400
58100;15350700
58200;14988200
58300;15056500
58400;15843900
58500;15050100
58600;15129000
58700;15305200
58800;15274000
58900;15203300
59000;15855700
59100;15990100
59200;15078900
59300;15131900
59400;15336400
59500;15537600
59600;15176100
59700;15628500
59800;15894200
59900;15734600
60000;15707500
60100;16184100
60200;15618200
60300;15721500
60400;15627800
60500;15876400
60600;15877800
60700;15691900
60800;16251100
60900;15824800
61000;16068600
61100;15990400
61200;15865100
61300;16004100
61400;16089200
61500;16340300
61600;16684800
61700;16008200
61800;16518600
61900;15973800
62000;16114900
62100;16354200
62200;16026200
62300;16205300
62400;16453200
62500;16275800
62600;16534600
62700;16231000
62800;16913600
62900;16101800
63000;16218400
63100;16622800
63200;16549200
63300;16584600
63400;16646200
63500;16759200
63600;16330900
63700;17035500
63800;16328200
63900;16752200
64000;16908700
64100;16570200
64200;17465100
64300;16765400
64400;16962500
64500;16774200
64600;16815200
64700;16920100
64800;17361000
64900;17335900
65000;17128600
65100;17294500
65200;17297700
65300;17463600
65400;17232800
65500;17141900
65600;16873400
65700;17430800
65800;17442000
65900;17403800
66000;17615800
66100;17721300
66200;17930300
66300;17377900
66400;17706500
66500;17597400
66600;17232500
66700;17273800
66800;17947100
66900;18484700
67000;17460700
67100;17604500
67200;17765300
67300;17461400
67400;18021200
67500;17697500
67600;18647600
67700;18524400
67800;17986700
67900;17832800
68000;18115600
68100;18283300
68200;17806800
68300;18747700
68400;17699500
68500;17814700
68600;18269600
68700;18112900
68800;18187600
68900;18490500
69000;18261600
69100;18643400
69200;18657100
69300;18275200
69400;18264700
69500;18490600
69600;18703000
69700;18733900
69800;18590400
69900;18692000
70000;18201500
70100;18332900
70200;18580800
70300;18861000
70400;19418600
70500;19022400
70600;18491400
70700;18689300
70800;19189300
70900;19016200
71000;18770900
71100;18504800
