Size;Time
47100;8685200
47200;8393200
47300;8938800
47400;8601200
47500;8613000
47600;8603000
47700;8435300
47800;8719900
47900;8719900
48000;9152400
48100;9083600
48200;9062700
48300;9092400
48400;8868600
48500;8601500
48600;8679200
48700;8770200
48800;9070500
48900;8502000
49000;9067100
49100;9099800
49200;8950400
49300;8643400
49400;9632800
49500;9008000
49600;9330300
49700;8975400
49800;9378500
49900;9125700
50000;9203200
50100;9257400
50200;9095200
50300;8871200
50400;9076700
50500;9386600
50600;9136700
50700;9230000
50800;9227200
50900;9399000
51000;9291500
51100;9370200
51200;9584600
51300;9286300
51400;10040800
51500;9703100
51600;9743500
51700;9676400
51800;9424000
51900;9298300
52000;9953600
52100;9507500
52200;9688000
52300;9321000
52400;9396600
52500;9760400
52600;9749500
52700;10166400
52800;9530800
52900;9682200
53000;9873400
53100;10106800
53200;9964500
53300;9480800
53400;9841200
53500;9887100
53600;9504200
53700;10124400
53800;9826100
53900;9960600
54000;9817800
54100;10385200
54200;9630500
54300;9774300
54400;9896400
54500;10273300
54600;10038600
54700;9950800
54800;9867200
54900;10095400
55000;9968400
55100;10163700
55200;9773200
55300;10162000
55400;10105100
55500;10302600
55600;10032500
55700;9862000
55800;10748600
55900;9924600
56000;11112300
56100;10232300
56200;10544400
56300;10220800
56400;10563700
56500;10616300
56600;10285100
56700;10374100
56800;10799600
56900;10244700
57000;10438800
57100;11010400
57200;10601300
57300;10560500
57400;10633600
57500;10032400
57600;10565600
57700;10971700
57800;10357500
57900;10649400
58000;10787700
58100;11078300
58200;11347200
58300;10623000
58400;10524500
58500;10719500
58600;10675200
58700;10699700
58800;10923700
58900;11136800
59000;10468100
59100;11109700
59200;10778700
59300;11171300
59400;11168600
59500;11295700
59600;11216500
59700;11261600
59800;11133500
59900;11563400
60000;11357000
60100;11864400
60200;11070700
60300;11506600
60400;10978000
60500;10989700
60600;11342300
60700;11487800
60800;11955200
60900;11200400
61000;11413700
61100;11280400
61200;10902200
61300;11396200
61400;11276600
61500;11326600
61600;12268100
61700;11178500
61800;12044000
61900;11618000
62000;11927900
62100;11721600
62200;11844100
62300;12144500
62400;11233100
62500;12222000
62600;11591900
62700;11866800
62800;11513200
62900;11415100
63000;12026400
63100;12011000
63200;12051400
63300;11827100
63400;12271100
63500;12116100
63600;11823700
63700;12187500
63800;11718500
63900;12161200
64000;12109900
64100;12171700
64200;11793300
64300;12337700
64400;12342400
64500;12027100
64600;12124000
64700;12374700
64800;12221500
64900;12439400
65000;12439900
65100;12132000
65200;12474300
65300;12044700
65400;12814400
65500;13160000
65600;12174700
65700;12154200
65800;12677800
65900;12340100
66000;12378800
66100;12659000
66200;12162200
66300;12517000
66400;12477000
66500;12500500
66600;12606700
66700;12280500
66800;12622000
66900;12928600
67000;12904900
67100;12474900
67200;12238600
67300;12402700
67400;12816900
67500;12360000
67600;12412700
67700;12650900
67800;12835100
67900;12705800
68000;12604700
68100;12609300
68200;13020700
68300;12675600
68400;12448100
68500;12846000
68600;13609200
68700;13605300
68800;13184900
68900;12982700
69000;12622200
69100;13690900
69200;13136400
69300;12761800
69400;12949800
69500;13656600
69600;12851300
69700;13423800
69800;13666200
69900;12991800
70000;13138400
70100;13120800
70200;12977500
70300;12969600
70400;13394500
70500;13749900
70600;13339700
70700;13894700
70800;13071200
70900;12970800
71000;13517200
71100;12701700
71200;13214400
71300;13370100
71400;13424700
71500;13883800
